"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TrnP",0,NA,NA,NA,NA,NA
"TrnT",0,NA,NA,NA,NA,NA
"CYTB",0,NA,NA,NA,NA,NA
"TrnE",0,NA,NA,NA,NA,NA
"ND6",0,NA,NA,NA,NA,NA
"ND5",0,NA,NA,NA,NA,NA
"TrnL2",0,NA,NA,NA,NA,NA
"TrnS2",0,NA,NA,NA,NA,NA
"TrnH",0,NA,NA,NA,NA,NA
"ND4",0,NA,NA,NA,NA,NA
"ND4L",0,NA,NA,NA,NA,NA
"TrnR",0,NA,NA,NA,NA,NA
"ND3",0,NA,NA,NA,NA,NA
"TrnG",0,NA,NA,NA,NA,NA
"COX3",0,NA,NA,NA,NA,NA
"ATP6",0,NA,NA,NA,NA,NA
"ATP8",0,NA,NA,NA,NA,NA
"TrnK",0,NA,NA,NA,NA,NA
"COX2",0,NA,NA,NA,NA,NA
"TrnD",0,NA,NA,NA,NA,NA
"TrnS1",0,NA,NA,NA,NA,NA
"COX1",0,NA,NA,NA,NA,NA
"TrnY",0,NA,NA,NA,NA,NA
"TrnC",0,NA,NA,NA,NA,NA
"TrnN",0,NA,NA,NA,NA,NA
"TrnA",0,NA,NA,NA,NA,NA
"TrnW",0,NA,NA,NA,NA,NA
"ND2",0,NA,NA,NA,NA,NA
"TrnM",0,NA,NA,NA,NA,NA
"TrnQ",0,NA,NA,NA,NA,NA
"TrnI",0,NA,NA,NA,NA,NA
"ND1",0,NA,NA,NA,NA,NA
"TrnL1",0,NA,NA,NA,NA,NA
"mt-Rnr2",0,NA,NA,NA,NA,NA
"TrnV",0,NA,NA,NA,NA,NA
"mt-Rnr1",0,NA,NA,NA,NA,NA
"TrnF",0,NA,NA,NA,NA,NA
"LOC118568479",0,NA,NA,NA,NA,NA
"Pisd-ps3",0,NA,NA,NA,NA,NA
"LOC100861738",0,NA,NA,NA,NA,NA
"LOC118568478",0,NA,NA,NA,NA,NA
"LOC100861749",0,NA,NA,NA,NA,NA
"LOC118568476",0,NA,NA,NA,NA,NA
"LOC434608",0,NA,NA,NA,NA,NA
"LOC673652",0,NA,NA,NA,NA,NA
"LOC102639428",0,NA,NA,NA,NA,NA
"LOC100040974",0,NA,NA,NA,NA,NA
"LOC115489316",0,NA,NA,NA,NA,NA
"LOC674011",0,NA,NA,NA,NA,NA
"LOC100043931",0,NA,NA,NA,NA,NA
"LOC100042019",0,NA,NA,NA,NA,NA
"LOC630077",0,NA,NA,NA,NA,NA
"LOC115489317",0,NA,NA,NA,NA,NA
"LOC100861691",0,NA,NA,NA,NA,NA
"LOC108168645",0,NA,NA,NA,NA,NA
"Gm33272",24.5697811858023,8.39248224995114,3.18047449805344,2.63875162498162,0.00832119215726711,0.58579596530305
